Key,Korean (South Korea)(ko-KR),English(en)
USkillAttack001_name,꼴 베기,Mowing Slash
USkillAttack001_desc,쇠 꼴을 베듯 낫으로 적의 하단을 끌어 당겨 벤다.,"Swings the sickle low as if cutting tough grass, hooking and slashing the enemy."
USkillAttack001_effect,베기 데미지 9,9 Slashing Damage.
USkillAttack002_name,막 쏘기,Hasty Shot
USkillAttack002_desc,화살을 쏘아 가까이 다가온 적을 공격한다.,Fires an arrow at an enemy that has come too close.
USkillAttack002_effect,찌르기 데미지 12,12 Piercing Damage.
USkillAttack003_name,잰 창질,Swift Thrust
USkillAttack003_desc,낫창으로 찔러 중거리에 있는 다수의 적에게 피해를 준다.,"Thrusts with the sickle-spear, damaging multiple enemies at medium range."
USkillAttack003_effect,직선 범위 내 적군 찌르기 데미지 18,All enemies in a line: 18 Piercing Damage.
USkillAttack004_name,철퇴질,Mace Blow
USkillAttack004_desc,적의 상단부를 노리고 힘껏 내리쳐 충격을 준다.,Strikes hard at the enemy's upper body with a heavy impact.
USkillAttack004_effect,때리기 데미지 9,9 Crushing Damage.
USkillAttack005_name,노려서 쏘기,Aimed Shot
USkillAttack005_desc,하나의 적을 노려 신중히 화살을 날린다.,Carefully aims and fires an arrow at a single enemy.
USkillAttack005_effect,찌르기 데미지 18,18 Piercing Damage.
USkillAttack006_name,일발 장전,Single Shot
USkillAttack006_desc,조총의 탄을 발사하여 적에게 피해를 준다.,Fires a round from the musket to damage an enemy.
USkillAttack006_effect,찌르기 데미지 27,27 Piercing Damage.
USkillAttack007_name,정권 지르기,Straight Punch
USkillAttack007_desc,나무와 바위로 단련된 주먹으로 적군에게 묵직한 타격을 입힌다.,Delivers a heavy punch hardened through training against wood and stone.
USkillAttack007_effect,때리기 데미지 9,9 Crushing Damage.
USkillAttack008_name,유엽 비수,Willow Dagger
USkillAttack008_desc,버드나무 잎 모양의 비수를 가볍게 던지면 신묘하게도 목표물에 정확히 꽂힌다.,Lightly tosses a willow-leaf-shaped dagger that mysteriously strikes its target with perfect accuracy.
USkillAttack008_effect,찌르기 데미지 13.5,13.5 Piercing Damage.
USkillAttack009_name,깊게 찌르기,Deep Thrust
USkillAttack009_desc,대상을 정확하게 찔러 치명적인 피해를 준다.,"Strikes the target with a precise thrust, dealing critical damage."
USkillAttack009_effect,찌르기 데미지 25,25 Piercing Damage.
USkillAttack010_name,참격,Slash
USkillAttack010_desc,전투 낫을 치켜들어 단숨에 내리치듯 목표물을 가른다.,Raises the war scythe and cleaves through the target in one powerful stroke.
USkillAttack010_effect,베기 데미지 18.75,18.75 Slashing Damage.
USkillAttack011_name,분쇄 일격,Crushing Blow
USkillAttack011_desc,적의 상단부를 노리고 대철퇴의 무게를 실어 내리쳐 부서질 듯한 충격을 준다.,Brings down the full weight of a great mace on the enemy's upper body.
USkillAttack011_effect,때리기 데미지 18.75,18.75 Crushing Damage.
USkillAttack012_name,철퇴 타작,Threshing Blow
USkillAttack012_desc,철퇴질이 숙련되어 마치 타작하듯 경쾌하고 빠르게 충격을 가한다.,"Wields the mace with practiced speed, striking as swiftly as threshing grain."
USkillAttack012_effect,때리기 데미지 12.5,12.5 Crushing Damage.
USkillAttack013_name,집중 사격,Focused Shot
USkillAttack013_desc,한 발 한 발 집중을 기해 적에게 피해를 준다.,Focuses on each shot to deal precise damage to the enemy.
USkillAttack013_effect,찌르기 데미지 25,25 Piercing Damage.
USkillAttack014_name,신속 장전,Quick Reload
USkillAttack014_desc,화승총을 더욱 솜씨있게 다뤄 숙련된 솜씨로 적에게 피해를 준다.,Handles the matchlock with greater skill to strike enemies with practiced precision.
USkillAttack014_effect,찌르기 데미지 31.25,37.5 Piercing Damage.
USkillAttack015_name,돌풍,Gust
USkillAttack015_desc,신통한 부채질로 증폭시킨 회오리를 날려 적군에게 충격을 주어 피해를 준다.,"Sends forth an amplified whirlwind with a mystical fan, battering enemies with powerful winds."
USkillAttack015_effect,원뿔 범위 내 적군 때리기 데미지 18.75,All enemies in a cone: 18.75 Crushing Damage.
USkillAttack016_name,정신봉,Staff Strike
USkillAttack016_desc,적군을 향해 봉을 넓게 휘둘러 반성의 기회를 준다.,"Sweeps a staff across the enemy ranks, giving them a chance to reflect on their actions."
USkillAttack016_effect,"직선 범위 적군 때리기 데미지 25, '위축' 상태 부여",All enemies in a line: 25 Crushing Damage. Inflicts 'Fearful'.
USkillAttack017_name,불길한 칼춤,Blade Dance
