Key,Korean (South Korea)(ko-KR),English(en),CH,JP
ally101_name,농사꾼,Farmer,,
ally101_script,"""우리 후손들이 살아갈 땅은 내 손으로 지킬겁니다!""",,,
ally101_desc,갑작스러운 외세의 침략으로 터전을 지키기 위해 농기구를 들고 참전한 용기있는 자들. 훈련을 받지는 않았지만 오랜 농사일로 단련된 체력과 끈기가 특징이다.,,,
ally102_name,사냥꾼,Hunter,,
ally102_script,“산짐승도 제 영역은 목숨 걸고 지키는 법이거든.”,,,
ally102_desc,사냥으로 다져진 활 솜씨로 움직이는 목표라도 맞출수 있게 화살을 날린다. 사냥터를 강탈하는 침략자들에 맞서 싸우기 위해 의병단에 들어왔다.,,,
ally201_name,낫창병,Scythe Spearman,,
ally201_script,“지금까지 베어 낸 쇠꼴만 해도 산 하나 만들고 남지요!”,,,
ally201_desc,"창 끝에 낫을 달아 개량한 낫창은 공방이 수월하지만, 단련된 몸이 아니고서는 몸살이 날 정도로 사용 난이도가 높다. 민첩하게 찌르고 베는 실력이 일취월장하는 중이다. ",,,
ally202_name,돌격병,Mace Soldier,,
ally202_script,“내가 선봉에 설테니 엄호해주시오!”,,,
ally202_desc,낫 대신 방패를 들어 동료를 지키는 자들. 방패와 철퇴를 들고 거침없이 돌격해 적 진영을 무너뜨리는 대담함을 지녔다.,,,
ally203_name,궁수,Archer,,
ally203_script,“화살 하나에 적군 하나. 일시천금 천시여상입니다.”,,,
ally203_desc,사냥을 하던 각개전투 궁술에 체계적인 훈련을 더해 수성 병법을 습득하였다. 어떤 상황에서도 신중함을 유지하며 지휘통솔에 맞추어 목표물을 명중시킨다.,,,
ally204_name,포수,Musketeer,,
ally204_script,“처음엔 방포소리에 놀랐는데 이젠 호랭이도 잡겠네요”,,,
ally204_desc,재주꾼인 사냥꾼에게 신식 무기인 화승총은 또 다른 가능성을 열어줬다. 아직은 열심히 장전하느라 여념이 없다.,,,
ally205_name,수행자,Ascetic,,
ally205_script,"""실천하지 않는 수행은 의미가 없습니다.""",,,
ally205_desc,깊은 산속에 은신해 수련하던 이들이 의병에 지원했다. 맨손으로 금강산 호랑이를 때려잡았다는 소문이 있다. 근접전에서 강력한 힘을 발휘한다.,,,
ally206_name,기녀,Performer,,
ally206_script,"""뭐라도 도울 게 있을까 해서요. 흥을 돋우는 재주는 있사옵니다.""",,,
